LSOA_Code,Health_Score,Health_Rank,Health_Decile
E01000547,-0.11,17726,6
E01000548,0.123,14146,5
E01000549,-0.691,25834,8
E01000550,0.146,13786,5
E01000551,-0.018,16277,5
E01000552,0.013,15798,5
E01000553,0.154,13683,5
E01000554,-0.452,22795,7
E01000555,-0.992,28753,9
E01000556,-0.228,19547,6
E01000557,0.126,14098,5
E01000558,-0.225,19491,6
E01000559,-0.033,16500,6
E01000560,-0.556,24133,8
E01000561,-0.029,16440,6
E01000562,-1.319,30956,10
E01000563,-0.847,27472,9
E01000564,-0.954,28447,9
E01000565,-0.428,22483,7
E01000566,-0.596,24662,8
E01000567,-0.438,22626,7
E01000568,-0.584,24501,8
E01000569,-1.035,29095,9
E01000570,-0.581,24464,8
E01000571,-0.566,24274,8
E01000572,-1.141,29892,10
E01000573,-0.817,27180,9
E01000574,-1.045,29172,9
E01000575,-1.135,29841,10
E01000576,-0.96,28508,9
E01000577,-0.533,23838,8
E01000578,-0.298,20625,7
E01000579,-0.045,16701,6
E01000580,-0.821,27206,9
E01000581,-1.221,30425,10
E01000582,-0.905,28018,9
E01000583,-0.619,24949,8
E01000584,-0.609,24830,8
E01000585,-0.48,23134,8
E01000586,-0.711,26038,8
E01000587,-0.728,26220,8
E01000588,-0.566,24265,8
E01000589,-0.63,25083,8
E01000590,-0.143,18279,6
E01000591,-0.636,25158,8
E01000592,-0.256,19960,7
E01000593,-0.694,25860,8
E01000594,-1.337,31050,10
E01000595,0.61,7821,3
E01000596,0.061,15057,5
E01000599,0.657,7318,3
E01000600,0.348,10999,4
E01000601,0.776,6133,2
E01000602,-0.315,20883,7
E01000603,-0.266,20131,7
E01000604,0.105,14436,5
E01000605,0.029,15560,5
E01000606,-0.866,27656,9
E01000607,-0.96,28504,9
E01000608,-0.507,23514,8
E01000609,-0.63,25085,8
E01000610,-0.405,22177,7
E01000611,-0.129,18045,6
E01000612,-0.242,19754,7
E01000613,-0.514,23619,8
E01000615,-0.673,25614,8
E01000616,-0.738,26345,9
E01000617,-0.412,22280,7
E01000618,-0.624,25016,8
E01000619,-0.606,24782,8
E01000620,-1.104,29618,10
E01000621,0.284,11844,4
E01000622,-0.275,20292,7
E01000623,-0.628,25067,8
E01000624,-0.668,25567,8
E01000625,-0.563,24224,8
E01000626,0.242,12480,4
E01000627,-0.136,18162,6
E01000628,-0.024,16366,5
E01000629,-0.782,26803,9
E01000630,-0.39,21993,7
E01000631,-1.244,30560,10
E01000632,-1.292,30816,10
E01000633,-0.686,25775,8
E01000634,-0.608,24822,8
E01000635,-0.877,27782,9
E01000636,-1.204,30306,10
E01000637,-0.319,20954,7
E01000638,-0.201,19155,6
E01000639,-0.816,27175,9
E01000640,-0.596,24661,8
E01000641,0.042,15348,5
E01000642,-0.32,20971,7
E01000643,0.846,5485,2
E01000644,-0.188,18965,6
E01000645,-1.934,32553,10
E01000646,-1.214,30379,10
E01000647,-1.147,29921,10
E01000648,-1.422,31426,10
E01000649,-1.165,30073,10
E01000650,-0.916,28114,9
E01000651,-1.152,29963,10
E01000652,-1.415,31400,10
E01000653,-0.593,24625,8
E01000654,-1.028,29051,9
E01000655,-1.195,30257,10
E01000656,-1.334,31032,10
E01000657,-0.518,23664,8
E01000658,-0.832,27309,9
E01000659,-1.119,29733,10
E01000661,0.197,13112,4
E01000662,-0.266,20121,7
E01000663,-0.515,23625,8
E01000664,-0.486,23230,8
E01000665,-1.19,30226,10
E01000666,-1.966,32579,10
E01000667,-1.554,31855,10
E01000668,-0.858,27566,9
E01000669,-1.202,30294,10
E01000670,-2.043,32641,10
E01000671,-0.655,25406,8
E01000672,-0.807,27069,9
E01000673,-1.099,29590,10
E01000674,-0.765,26624,9
E01000675,-1.481,31638,10
E01000676,-0.309,20785,7
E01000677,-1.256,30641,10
E01000678,-1.183,30190,10
E01000679,-0.876,27775,9
E01000680,-1.287,30792,10
E01000681,-1.722,32252,10
E01000682,-0.837,27366,9
E01000683,-0.725,26178,8
E01000684,-1.699,32215,10
E01000685,-0.54,23918,8
E01000686,-1.376,31244,10
E01000687,-1.022,28992,9
E01000688,-1.452,31549,10
E01000689,0.044,15332,5
E01000690,-1.367,31200,10
E01000691,-0.679,25706,8
E01000692,-1.168,30088,10
E01000693,-1.153,29965,10
E01000694,-1.534,31796,10
E01000695,-1.806,32387,10
E01000696,-1.647,32101,10
E01000697,-1.64,32084,10
E01000698,-1.303,30873,10
E01000699,-0.219,19417,6
E01000700,-0.666,25539,8
E01000701,-0.749,26453,9
E01000702,-0.765,26628,9
E01000703,-1.123,29755,10
E01000704,-1.049,29210,9
E01000705,-0.904,28008,9
E01000706,-0.665,25524,8
E01000707,-1.831,32436,10
E01000708,-0.903,28005,9
E01000709,-0.101,17588,6
E01000710,-1.316,30932,10
E01000711,-1.444,31518,10
E01000712,-1.883,32500,10
E01000713,-1.301,30862,10
E01000714,-1.493,31679,10
E01000715,-0.974,28607,9
E01000716,-0.924,28177,9
E01000717,-1.554,31857,10
E01000718,-0.622,24973,8
E01000719,0.136,13931,5
E01000720,0.131,14017,5
E01000721,0.563,8362,3
E01000722,-0.098,17537,6
E01000723,-0.759,26567,9
E01000724,0.384,10542,4
E01000725,0.045,15318,5
E01000726,-0.746,26423,9
E01000727,-0.745,26408,9
E01000728,-0.541,23947,8
E01000729,0.55,8514,3
E01000730,0.435,9880,4
E01000731,-0.259,20005,7
E01000732,-0.742,26380,9
E01000733,-0.598,24684,8
E01000734,-0.915,28105,9
E01000735,0.002,15981,5
E01000736,-0.487,23242,8
E01000737,0.146,13780,5
E01000738,-0.324,21039,7
E01000739,0.238,12537,4
E01000740,-0.252,19895,7
E01000741,0.225,12709,4
E01000742,-0.561,24191,8
E01000743,0.455,9653,3
E01000744,0.584,8125,3
E01000745,-0.541,23948,8
E01000746,-0.735,26305,9
E01000747,-0.819,27196,9
E01000748,-1.401,31343,10
E01000749,-1.224,30448,10
E01000750,-0.234,19633,6
E01000751,-0.945,28364,9
E01000752,-0.948,28391,9
E01000753,-1.559,31877,10
E01000754,-0.892,27916,9
E01000755,-1.067,29347,9
E01000756,-1.5,31701,10
E01000757,-1.667,32145,10
E01000758,-1.472,31607,10
E01000759,-1.345,31088,10
E01000760,-1.025,29021,9
E01000761,-1.367,31202,10
E01000762,-1.009,28901,9
E01000763,-1.377,31250,10
E01000764,-0.6,24710,8
E01000765,-1.418,31410,10
E01000766,-1.817,32404,10
E01000767,-1.505,31721,10
E01000768,-1.153,29966,10
E01000769,-0.349,21441,7
E01000770,-1.79,32364,10
E01000771,-1.875,32490,10
E01000772,-1.48,31635,10
E01000773,-1.527,31777,10
E01000774,-0.995,28774,9
E01000775,-2.264,32751,10
E01000777,-1.165,30067,10
E01000778,-0.711,26040,8
E01000779,-0.903,28002,9
E01000780,-0.641,25233,8
E01000781,0.412,10166,4
E01000782,0.778,6107,2
E01000783,0.026,15611,5
E01000784,-0.736,26323,9
E01000785,-0.033,16515,6
E01000786,-1.154,29973,10
E01000787,-0.604,24761,8
E01000788,-0.85,27511,9
E01000789,0.031,15537,5
E01000790,-1.254,30619,10
E01000791,-0.958,28476,9
E01000792,-0.679,25692,8
E01000793,-1.042,29145,9
E01000794,-1.267,30687,10
E01000795,-0.456,22839,7
E01000796,0.013,15806,5
E01000797,-0.777,26756,9
E01000798,0.281,11895,4
E01000799,-0.731,26257,8
E01000800,-0.405,22181,7
E01000801,-0.566,24273,8
E01000802,-0.62,24957,8
E01000803,-0.422,22411,7
E01000804,-1.323,30978,10
E01000805,-0.346,21391,7
E01000806,-0.114,17794,6
E01000807,-1.405,31365,10
E01000808,-1.346,31094,10
E01000809,-1.492,31676,10
E01000810,-1.94,32557,10
E01000811,-1.354,31130,10
E01000812,-1.174,30132,10
E01000813,-1.54,31815,10
E01000814,-1.908,32527,10
E01000815,-2.036,32634,10
E01000816,-1.019,28976,9
E01000818,-1.383,31275,10
E01000819,-0.247,19828,7
E01000820,-0.106,17666,6
E01000822,-0.176,18773,6
E01000823,-0.773,26726,9
E01000824,-0.434,22560,7
E01000825,-0.42,22388,7
E01000826,-1.599,31981,10
E01000827,-1.731,32270,10
E01000828,-1.151,29956,10
E01000829,-1.492,31675,10
E01000830,-1.938,32555,10
E01000831,-1.263,30665,10
E01000832,-1.399,31338,10
E01000833,-1.844,32459,10
E01000834,-1.534,31798,10
E01000835,-1.212,30371,10
E01000836,-1.539,31811,10
E01000837,-0.59,24585,8
E01000838,-1.125,29773,10
E01000839,-1.659,32125,10
E01000840,-0.636,25165,8
E01000841,-1.51,31728,10
E01000842,-1.457,31569,10
E01000843,-1.42,31419,10
E01000844,-1.241,30541,10
E01000845,-0.873,27737,9
E01000846,-0.456,22854,7
E01000847,-0.86,27589,9
E01000848,-2.093,32668,10
E01000849,-1.155,29985,10
E01000850,-1.4,31342,10
E01000851,-1.23,30485,10
E01000852,-0.619,24947,8
E01000853,-0.043,16678,6
E01000854,-0.417,22350,7
E01000855,-1.024,29014,9
E01000856,0.453,9671,3
E01000857,-0.492,23320,8
E01000858,0.328,11236,4
E01000859,-1.571,31915,10
E01000860,-0.608,24814,8
E01000861,0.213,12887,4
E01000862,-1.323,30977,10
E01000863,0.699,6888,3
E01000864,-0.602,24737,8
E01000865,-0.258,19996,7
E01000866,-0.338,21252,7
E01000867,-0.078,17222,6
E01000868,0.452,9688,3
E01000869,0.035,15470,5
E01000870,-0.036,16551,6
E01000871,-1.253,30616,10
E01000872,-0.004,16080,5
E01000873,-0.941,28325,9
E01000874,-1.49,31669,10
E01000875,-0.45,22771,7
E01000876,0.434,9889,4
E01000877,-0.542,23955,8
E01000878,-1.822,32413,10
E01000879,-2.079,32659,10
E01000880,-2.257,32748,10
E01000881,-1.238,30532,10
E01000882,-2.291,32757,10
E01000883,-1.602,31989,10
E01000884,-1.995,32601,10
E01000885,-2.038,32637,10
E01000886,-1.492,31677,10
E01000887,-0.864,27641,9
E01000888,-0.745,26411,9
E01000889,0.415,10124,4
E01000890,0.615,7763,3
E01000891,0.496,9144,3
E01000892,-1.287,30793,10
E01000893,-1.725,32258,10
E01000894,-1.916,32534,10
E01000895,-0.777,26755,9
E01000896,-2.131,32693,10
E01000897,-2.098,32674,10
E01000898,-0.217,19396,6
E01000899,-2.77,32829,10
E01000900,-0.065,17006,6
E01000901,-0.067,17041,6
E01000902,0.615,7757,3
E01000903,-0.322,21000,7
E01000904,-0.48,23128,8
E01000905,0.524,8821,3
E01000906,-0.941,28324,9
E01000907,0.32,11363,4
E01000908,-0.156,18475,6
E01000909,-1.532,31792,10
E01000910,-1.587,31951,10
E01000911,-0.77,26689,9
E01000912,-0.218,19402,6
E01000913,-1.576,31923,10
E01000914,-1.483,31642,10
E01000915,-0.388,21966,7
E01000916,-0.667,25554,8
E01000917,-0.055,16859,6
E01000918,-0.981,28679,9
E01000919,-0.303,20693,7
E01000920,-0.664,25517,8
E01000921,-0.358,21559,7
E01000922,0.111,14343,5
E01000923,0.174,13405,5
E01000924,-1.006,28872,9
E01000925,0.16,13614,5
E01000926,0.091,14660,5
E01000927,-0.435,22569,7
E01000928,-0.177,18786,6
E01000929,-0.063,16981,6
E01000930,0.005,15929,5
E01000931,-0.085,17336,6
E01000932,0.07,14950,5
E01000933,-0.392,22026,7
E01000934,0.761,6275,2
E01000935,0.056,15134,5
E01000936,-0.712,26047,8
E01000937,-0.911,28069,9
E01000938,0.196,13128,4
E01000939,0.226,12694,4
E01000940,-0.212,19309,6
E01000941,0.509,8993,3
E01000942,-1.231,30494,10
E01000943,-0.694,25868,8
E01000944,-0.345,21376,7
E01000945,0.591,8036,3
E01000946,-0.654,25394,8
E01000947,0.1,14512,5
E01000948,-0.202,19171,6
E01000949,0.13,14027,5
E01000950,0.458,9620,3
E01000951,0.281,11897,4
E01000952,0.303,11582,4
E01000953,0.572,8266,3
E01000954,0.352,10944,4
